Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID
1,Unpolarized capacitor,C,C1,10nF,SMD-0805,1, ,~,5c70984712875079b91f8b49
2,Unpolarized capacitor,C,C3 C4 C5,100nF,SMD-0805,3, ,~,5c70984712875079b91f8b4c
3,Unpolarized capacitor,C,C2,10uF,SMD-0805,1, ,~,5c70984812875079b91f8bbd
4,Light emitting diode,LED,D3,GREEN,LED_1206,1, ,~,5c70984412875079b91f8895
5,Diode,D,D1,M4,D_SMA,1, ,~,5c70984512875079b91f88ac
6,Light emitting diode,LED,D2,RED,LED_1206,1, ,~,5c70984412875079b91f8896
7,"Resettable fuse, polymeric positive temperature coefficient",Polyfuse,F1,750mA,1812,1, ,~,5c70984512875079b91f88d2
8,"Ferrite bead, small symbol",FerriteBead_Small,FB1,BLM21PG300SN1D,SMD-0805,1, ,~,5c70984412875079b91f87fd
9,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4 J9 J10 J11 J12,-,Straight_2x01,5, ,,
10,1x01 2.54 mm pitch header,HEADER_1x01,J13 J14 J15 J16,-,Straight_1x01,4, ,,
11,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J5 J6 J7 J8 J17,HEADER_2x01_PARALLEL,Straight_2x01,5, ,,
12,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J2 J3,HEADER_2x03_PARALLEL,Straight_2x03,2, ,,
13,USB Type B connector,USB_B,J1,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,1, , ~,5c70984412875079b91f87a8
14,Resistor,R,R3 R4,270R,SMD-0805,2, ,~,5c70984512875079b91f8983
15,Resistor,R,R1,4k7,SMD-0805,1, ,~,5c70984612875079b91f8995
16,Resistor,R,R2,10k,SMD-0805,1, ,~,5c70984612875079b91f899f
17,"Full Speed USB to Full Handshake UART, QFN-20",FT231XQ,U2,FT231XQ,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1, ,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf,605d7fe0128750769e769adb
18,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",USBLC6-2SC6,U1,USBLC6-2SC6,SOT-23-6,1, ,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,5e82e0691287502a334a778c





Project info:
Schematic:,USB232R02A
Variant:,default
Revision:,
Date:,2021-03-25
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,18
Component Count:,33
Fitted Components:,33
Number of PCBs:,1
Total Components:,33
