Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",3.4925,19.6850,180.0000,bottom
"C2","10uF","SMD-0805",1.9050,16.1925,90.0000,bottom
"C3","100nF","SMD-0805",21.0820,20.6375,90.0000,bottom
"C4","100nF","SMD-0805",23.9395,21.4630,180.0000,bottom
"C5","100nF","SMD-0805",29.9720,14.0970,180.0000,bottom
"D1","M4","D_SMA",4.3500,12.0650,180.0000,bottom
"D2","RED","LED_1206",11.4300,25.4000,0.0000,bottom
"D3","GREEN","LED_1206",11.4300,5.0800,0.0000,bottom
"F1","750mA","1812",8.8450,16.5100,180.0000,bottom
"FB1","BLM21PG300SN1D","SMD-0805",4.4450,16.1925,-90.0000,bottom
"R1","4k7","SMD-0805",27.4955,21.4630,0.0000,bottom
"R2","10k","SMD-0805",31.0515,21.4630,0.0000,bottom
"R3","270R","SMD-0805",11.1125,28.5750,0.0000,bottom
"R4","270R","SMD-0805",11.7475,1.9050,180.0000,bottom
"U1","USBLC6-2SC6","SOT-23-6",16.6425,19.6850,180.0000,bottom
"U2","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",24.7650,16.5100,90.0000,bottom
