Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","SMD-0805",132.0775,-96.0690,180.0000,bottom
"C2","10uF","SMD-0805",130.4900,-99.5615,90.0000,bottom
"C3","100nF","SMD-0805",149.6670,-95.1165,90.0000,bottom
"C4","100nF","SMD-0805",152.5245,-94.2910,180.0000,bottom
"C5","100nF","SMD-0805",158.5570,-101.6570,180.0000,bottom
"D1","M4","D_SMA",132.9350,-103.6890,180.0000,bottom
"D2","RED","LED_1206",140.0150,-90.3540,0.0000,bottom
"D3","GREEN","LED_1206",140.0150,-110.6740,0.0000,bottom
"F1","750mA","1812",137.4300,-99.2440,180.0000,bottom
"FB1","BLM21PG300SN1D","SMD-0805",133.0300,-99.5615,-90.0000,bottom
"R1","4k7","SMD-0805",156.0805,-94.2910,0.0000,bottom
"R2","10k","SMD-0805",159.6365,-94.2910,0.0000,bottom
"R3","270R","SMD-0805",139.6975,-87.1790,0.0000,bottom
"R4","270R","SMD-0805",140.5000,-113.6000,180.0000,bottom
"U1","USBLC6-2SC6","SOT-23-6",145.2275,-96.0690,180.0000,bottom
"U2","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",153.3500,-99.2440,90.0000,bottom
