Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",-1.5875,14.6050,180.0000,bottom
"C2","10uF","SMD-0805",-3.1750,11.1125,90.0000,bottom
"C3","100nF","SMD-0805",15.8600,15.8965,90.0000,bottom
"C4","100nF","SMD-0805",18.8595,16.3830,180.0000,bottom
"C5","100nF","SMD-0805",24.8920,9.0170,180.0000,bottom
"D1","M4","D_SMA",-0.7300,6.9850,180.0000,bottom
"D2","RED","LED_1206_2",6.3500,20.3200,0.0000,bottom
"D3","GREEN","LED_1206_2",6.3500,0.0000,0.0000,bottom
"F1","750mA","1812",3.7650,11.4300,180.0000,bottom
"FB1","BLM21PG300SN1D","SMD-0805",-0.6350,11.1125,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",26.5350,4.9740,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",2.1350,15.4740,180.0000,bottom
"H1","M3","MountingHole_3mm",30.4800,20.3200,0.0000,top
"H2","M3","MountingHole_3mm",0.0000,20.3200,0.0000,top
"H3","M3","MountingHole_3mm",0.0000,0.0000,0.0000,top
"H4","M3","MountingHole_3mm",30.4800,0.0000,0.0000,top
"J1","USB_B","USB_B_OST_USB-B1HSxx_Horizontal",10.4140,8.7630,180.0000,top
"J2","HEADER_2x03","Straight_2x03",13.9700,0.0000,90.0000,top
"J3","HEADER_2x03","Straight_2x03",22.8600,0.0000,90.0000,top
"J18","HEADER_2x07","Straight_2x07",17.8350,20.3440,90.0000,top
"J19","HEADER_2x05_PARALLEL","Straight_2x05",30.4650,10.1740,0.0000,top
"R1","4k7","SMD-0805",22.4155,16.3830,0.0000,bottom
"R2","10k","SMD-0805",25.9715,16.3830,0.0000,bottom
"R3","270R","SMD-0805",6.0325,23.4950,0.0000,bottom
"R4","270R","SMD-0805",6.8350,-2.9260,180.0000,bottom
"U1","USBLC6-2SC6","SOT-23-6",11.5625,14.6050,180.0000,bottom
"U2","FT231XQ","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",19.6850,11.4300,90.0000,bottom
