Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,lcsc,ust_id
1,Unpolarized capacitor,C,C1,10nF,SMD-0805,1,~,C472806,5c70984712875079b91f8b49
2,Unpolarized capacitor,C,C3C4C5,100nF,SMD-0805,3,~,C111492,5c70984712875079b91f8b4c
3,Unpolarized capacitor,C,C2,10uF,SMD-0805,1,~,C17024,5c70984812875079b91f8bbd
4,Light emitting diode,LED,D3,GREEN,LED_1206_2,1,https://www.tme.eu/Document/283cf8402cc8d70fa16840405395cb5a/kptr-3216cgck.pdf,C598394,5c70984412875079b91f8895
5,Diode,D,D1,M4,D_SMA,1,~,C466506,5c70984512875079b91f88ac
6,Light emitting diode,LED,D2,RED,LED_1206_2,1,http://www.kingbright.com/attachments/file/psearch/000/00/20160808bak/KPTR-3216SURCK(Ver.15A).pdf,C598398,5c70984412875079b91f8896
7,"Resettable fuse, polymeric positive temperature coefficient",Polyfuse,F1,750mA,1812,1,~,C269130,5c70984512875079b91f88d2
8,"Ferrite bead, small symbol",FerriteBead_Small,FB1,BLM21PG300SN1D,SMD-0805,1,~,C16903,5c70984412875079b91f87fd
9,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J2J3,HEADER_2x03,Straight_2x03,2,,C706893,
10,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J19,HEADER_2x05,Straight_2x05,1,,C706895,
11,2x07 2.54 mm pitch header,HEADER_2x07,J18,HEADER_2x07,Straight_2x07,1,,C706897,
12,USB Type B connector,USB_B,J1,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,1, ~,C490687,5c70984412875079b91f87a8
13,Resistor,R,R3R4,270R,SMD-0805,2,~,C228675,5c70984512875079b91f8983
14,Resistor,R,R1,4k7,SMD-0805,1,~,C60816,5c70984612875079b91f8995
15,Resistor,R,R2,10k,SMD-0805,1,~,C84376,5c70984612875079b91f899f
16,"Full Speed USB to Full Handshake UART, QFN-20",FT231XQ,U2,FT231XQ,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf,C132159,605d7fe0128750769e769adb
17,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",USBLC6-2SC6,U1,USBLC6-2SC6,SOT-23-6,1,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,C7519,5e82e0691287502a334a778c
